"common_name","scientific_name","coords.x1","coords.x2"
"Albacore Tuna","Thunnus alalunga",-173.75,28.75
"Albacore Tuna","Thunnus alalunga",-168.75,8.75
"Albacore Tuna","Thunnus alalunga",-163.75,-23.75
"Albacore Tuna","Thunnus alalunga",-153.75,43.75
"Albacore Tuna","Thunnus alalunga",-149.92,-17.53
"Albacore Tuna","Thunnus alalunga",-148.75,-18.75
"Albacore Tuna","Thunnus alalunga",-147.85,-14.92
"Albacore Tuna","Thunnus alalunga",-145.24,-14.66
"Albacore Tuna","Thunnus alalunga",-143.75,-43.75
"Albacore Tuna","Thunnus alalunga",-133.75,43.75
"Albacore Tuna","Thunnus alalunga",-128.75,43.75
"Albacore Tuna","Thunnus alalunga",-123.75,28.75
"Albacore Tuna","Thunnus alalunga",-120.849901,35.365808
"Albacore Tuna","Thunnus alalunga",-118.505233,32.957398
"Albacore Tuna","Thunnus alalunga",-117.241824,32.661295
"Albacore Tuna","Thunnus alalunga",-117.161039,32.659055
"Albacore Tuna","Thunnus alalunga",-117.13333,32.7
"Albacore Tuna","Thunnus alalunga",-117.13333,32.7
"Albacore Tuna","Thunnus alalunga",-110.216667,23.45
"Albacore Tuna","Thunnus alalunga",-103.75,-28.75
"Albacore Tuna","Thunnus alalunga",-93.75,-3.75
"Albacore Tuna","Thunnus alalunga",-83.75,28.75
"Albacore Tuna","Thunnus alalunga",-78.75,-18.75
"Albacore Tuna","Thunnus alalunga",-72.919898,40.699752
"Albacore Tuna","Thunnus alalunga",-63.75,33.75
"Albacore Tuna","Thunnus alalunga",-53.75,43.75
"Albacore Tuna","Thunnus alalunga",-48.75,23.75
"Albacore Tuna","Thunnus alalunga",-44.506667,-30.2585
"Albacore Tuna","Thunnus alalunga",-43.75,13.75
"Albacore Tuna","Thunnus alalunga",-38.75,13.75
"Albacore Tuna","Thunnus alalunga",-33.75,13.75
"Albacore Tuna","Thunnus alalunga",-28.75,-3.75
"Albacore Tuna","Thunnus alalunga",-23.75,18.75
"Albacore Tuna","Thunnus alalunga",-18.75,8.75
"Albacore Tuna","Thunnus alalunga",-13.75,53.75
"Albacore Tuna","Thunnus alalunga",-8.75,38.75
"Albacore Tuna","Thunnus alalunga",-3.75,-28.75
"Albacore Tuna","Thunnus alalunga",8.75,38.75
"Albacore Tuna","Thunnus alalunga",11.7483,-17.2486
"Albacore Tuna","Thunnus alalunga",13.75,3.75
"Albacore Tuna","Thunnus alalunga",14.8167,-25.3
"Albacore Tuna","Thunnus alalunga",14.8456,-25.7186
"Albacore Tuna","Thunnus alalunga",14.8456,-25.7186
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
