"","id","name","date_from","date_to","lat_end","lon_end","species_count","taxon_count","record_count","imis_dasid","date_last_harvested"
"1",129,"Albacore Tuna",1829,2005,60.467,179.14,1779,2205,15136,3442,"7/7/2006 0:00:00"
"2",3062,"Albacore Tuna",1965,2013,-8.108,180,51,51,411926,4823,"10/6/2016 14:39:45"
"3",3849,"Albacore Tuna",0,0,29.32,140,644,665,1983,NA,"10/6/2016 18:25:17"
"4",32,"Albacore Tuna",0,0,85.808,0,1360,1750,43352,4126,""
"5",2491,"Albacore Tuna",1996,1997,39.938,3.552,61,121,1046,3010,"9/29/2016 1:09:05"
"6",2539,"Albacore Tuna",1988,1990,39.55,2.648,35,46,291,3046,"9/28/2016 22:58:27"
"7",3067,"Albacore Tuna",1786,2008,57.75,-4.891,134,140,1135,4536,"9/29/2016 4:01:03"
"8",2411,"Albacore Tuna",1965,1992,7.767,-29.35,313,480,17519,3721,"10/10/2016 13:05:49"
"9",3558,"Albacore Tuna",2000,2002,-9.25,167.75,372,390,60445,3964,"9/30/2016 13:26:53"
"10",73,"Albacore Tuna",1846,2005,76,178.833,4833,5334,118181,3657,"11/12/2005 0:00:00"
"11",2415,"Albacore Tuna",1826,2011,80,180,6972,8902,75785,2442,"11/3/2010 0:00:00"
"12",1495,"Albacore Tuna",1992,2005,51.53,-11.11,17,19,451827,3400,"9/2/2009 0:00:00"
"13",4147,"Albacore Tuna",1998,2013,40.093,-12.053,5,5,27024,4681,"9/28/2016 23:50:59"
"14",4258,"Albacore Tuna",2005,2013,39.692,-13.619,19,21,728,4674,"9/29/2016 5:00:11"
"15",2526,"Albacore Tuna",2001,2005,40.333,4.908,7,15,1945,3064,"9/29/2016 12:24:34"
"16",1545,"Albacore Tuna",0,0,30.419,-82.341,12878,13474,126292,3399,"1/12/2010 0:00:00"
"17",2559,"Albacore Tuna",1920,1984,42.33,3.62,75,84,33604,3147,"9/29/2016 12:05:35"
"18",71,"Albacore Tuna",1706,2005,31.95,147.75,16166,18344,48349,3446,"1/6/2007 0:00:00"
"19",2432,"Albacore Tuna",0,0,76.556,179.55,1783,1871,9631,3676,""
"20",268,"Albacore Tuna",1840,2007,80.2,179.9,8131,9636,114408,1984,"7/17/2008 0:00:00"
"21",3422,"Albacore Tuna",1972,2014,70.517,179.983,2822,3191,22605,4542,"9/28/2016 19:03:00"
"22",3560,"Albacore Tuna",1965,1978,-6.635,168.143,890,1146,74788,4773,"9/30/2016 13:22:47"
"23",168,"Albacore Tuna",1985,2005,-8.813,40.507,166,201,2744958,3764,"12/4/2006 0:00:00"
"24",721,"Albacore Tuna",1804,2005,80.2,180,11716,11829,505852,4354,"3/16/2009 0:00:00"
"25",1433,"Albacore Tuna",0,0,32.57,-76.88,1240,1267,63632,3760,"5/18/2009 0:00:00"
"26",4292,"Albacore Tuna",1900,2013,59.6,179.105,3735,5232,53266,5587,"10/6/2016 16:48:15"
"27",1660,"Albacore Tuna",1973,1980,35.27,-75.1,199,455,10395,3834,"7/12/2010 0:00:00"
"28",2532,"Albacore Tuna",1970,1989,40.208,4.4,176,219,3704,3003,"9/29/2016 4:44:33"
"29",3243,"Albacore Tuna",1868,2016,37.559,180,1403,1624,7568,4809,"10/6/2016 14:34:10"
"30",2333,"Albacore Tuna",0,0,-0.024,41.741,2514,2689,3080,3765,"5/22/2011 0:00:00"
"31",63,"Albacore Tuna",1961,2008,-31.321,180,559,800,495696,875,"10/6/2016 15:06:47"
"32",2503,"Albacore Tuna",2003,2005,39.165,2.942,84,97,1729,3005,"9/29/2016 8:41:24"
"33",3216,"Albacore Tuna",1964,1987,-24.031,179.984,422,717,111883,4848,"10/6/2016 15:42:07"
"34",1668,"Albacore Tuna",0,0,29.13,179.267,1170,1251,1257,3970,"7/13/2010 0:00:00"
"35",1496,"Albacore Tuna",1980,2005,51.3,-37.15,73,106,231198,3401,"9/3/2009 0:00:00"
"36",2474,"Albacore Tuna",0,0,25.034,114.805,196,270,89753,3125,"9/29/2016 4:56:15"
"37",4279,"Albacore Tuna",1938,2014,63.833,-8.551,232,346,375278,5562,"9/30/2016 23:06:22"
