"Landings by State by Species
Species Landed : 'ALBACORE, BLUEFISH, HADDOCK, TILEFISH, GOLDFACE, PORGY, RED, TUNA, YELLOWFIN, POLLOCK, BASS, STRIPED, HAKE, SILVER, SWORDFISH, FLOUNDER, SUMMER, REDFISH, ACADIAN, MUSSEL, SEA, SCALLOP, SHRIMP, NORTHERN WHITE, SHRIMPS, PENAEOID, DORY, AMERICAN JOHN, FROGFISH, OCELLATED' , Landing Year : '2004, 2009, 2014'

20-APR-17"

"Year:2004"

"","","Species","ALBACORE",,"BASS, STRIPED",,"BLUEFISH",,"DORY, AMERICAN JOHN",,"FLOUNDER, SUMMER",,"HADDOCK",,"HAKE, SILVER",,"MUSSEL, SEA",,"POLLOCK",,"PORGY, RED",,"REDFISH, ACADIAN",,"SCALLOP",,"SHRIMP, NORTHERN WHITE",,"SHRIMPS, PENAEOID",,"SWORDFISH",,"TUNA, YELLOWFIN",
"","","","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value","Live Lbs","Value"
"Subregion","State Landed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gulf of Mexico","","","","","","",18341.1,8043.77,"","","","","","","","","","","","",100888.5,105155.57,"","",4724,4578.21,1130630.6,1783236.49,216696.1,724102.8,356279,1033577.28,459935.7,1490651.92
,"FL","","","","","",18341.1,8043.77,"","","","","","","","","","","","",100888.5,105155.57,"","",4724,4578.21,1130630.6,1783236.49,216696.1,724102.8,356279,1033577.28,459935.7,1490651.92
"Mid-Atlantic","","",144638,72585,3854443,7449541,2986820,978837.9,16860,9969,8231064,12983298.6,314,233,5303062,3438583,13625,9523,425,412,98,54,1666,1575,4730,23522,"","","","",441490,1091798.25,535809,1030083.46
,"DE","","","",175584,494203,26893,9191,"","",7565,14344,"","","","","","","","","","","","","","","","","","","","",662,1602
,"MD","",5445,3709,865603,1507564,44132,10960,"","",225814,395235,"","",123,13,"","","","","","",188,174,"","","","","","",14842,31190,59518,93410.46
,"NJ","",105100,52888,"","",1043361,390480.66,1982,1262,2560481,4024004,"","",225957,99911,"","",57,54,"","","","",3097,13262,"","","","",400898,988664.25,385204,736681
,"NY","",33155,15443,689257,1786538,1395282,454658.77,14839,8678,1539902,3188064.6,314,233,5076144,3338152,13625,9523,337,349,"","",1478,1401,1600,9600,"","","","",25750,71944,81669,187074
,"VA","",938,545,2123999,3661236,477152,113547.47,39,29,3897302,5361651,"","",838,507,"","",31,9,98,54,"","",33,660,"","","","","","",8756,11316
"North Atlantic","","",11067,6991,1441543,2595167,1115138,370088.39,84144,47782,4683962,8009156.06,16786288,17116969,13547997,6427800.43,3931963.2,3220071,8525988,4010701.85,"","",661528,333454.8,8301,21802,"","","","",374640,1078260,233855,478197
,"CT","",1891,2156,7061,21373,42072,11852,2658,1125,406038,806789,4457,3629,2935966,2028110,"","",199,79,"","","","","","","","","","",1559,6207,5699,12474
,"MA","",6342,3308,1207879,2000797,456892,193720.2,16129,7348,1193079,1885773,15384747,15801340,5688676,2202994.46,47720.2,2102,5740599,2674639.85,"","",497501,258240.8,"","","","","","",278461,774580,157820,326809
,"ME","","","","","",572,235,"","",252,225,678103,652471,249,136,3884243,3217969,1647807,814152,"","",134081,63081,1790,13360,"","","","","","","",""
,"NH","","","",203,365,25007,8554,"","",33,70,108048,134579,124396,55140,"","",1101753,504130,"","",25547,10052,"","","","","","","","","",""
,"PA","","","","","","","","","","","","","","","","","","","","","","","",5337,2572,"","","","","","","",""
,"RI","",2834,1527,226400,572632,590595,155727.19,65357,39309,3084560,5316299.06,610933,524950,4798710,2141419.97,"","",35630,17701,"","",4399,2081,1174,5870,"","","","",94620,297473,70336,138914
"South Atlantic","","",14808.5,12271.85,911375,1161166.82,3885607.2,898916.01,913,465.63,60994.3,71528.79,"","","","","","","","",46258.2,67441.36,"","","","",14013321.9,28217516.329,119977.3,652319.68,1323994.5,3588582.54,897144.5,1044714.26
,"FL","",14767.5,12230.85,"","",120818.1,43322.19,"","",1225.3,1571.79,"","","","","","","","",4881.7,7221.29,"","","","",3806489.3,8797285.539,8965,17485.05,508863,1490130.17,34077.4,87617.48
,"GA","","","","","","","","","","","","","","","","","","","","","","","","","",4394271.2,9108059.51,111012.3,634834.63,"","","",""
,"NC","",41,41,911375,1161166.82,3764789.1,855593.82,913,465.63,59769,69957,"","","","","","","","",26444.4,33759.02,"","","","",1922217.5,3693082.37,"","",659351.4,1673702.63,853537.5,938439.18
,"SC","","","","","","","","","","","","","","","","","","","",14932.1,26461.05,"","","","",3890343.9,6619088.91,"","",155780.1,424749.74,9529.6,18657.6
"","","",432,333,"","","","","","","","","","","","","","","","","","","","","","","","","","",865584,2040484,108,390
,"CN","",432,333,"","","","","","","","","","","","","","","","","","","","","","","","","","",865584,2040484,108,390
"Year Total","","",170945.5,92180.85,6207361,11205874.82,8005906.3,2255886.07,101917,58216.63,12976020.3,21063983.45,16786602,17117202,18851059,9866383.43,3945588.2,3229594,8526413,4011113.85,147244.7,172650.93,663194,335029.8,17755,49902.21,15143952.5,30000752.819,336673.4,1376422.48,3361987.5,8832702.07,2126852.2,4044036.64
