"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","name","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797750"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797750</a>","FB 2812161","Albacore Tuna",-173.75,28.75,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796641"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796641</a>","FB 2811052","Albacore Tuna",-168.75,8.75,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1795311"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1795311</a>","FB 2809722","Albacore Tuna",-163.75,-23.75,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798448"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798448</a>","FB 2812859","Albacore Tuna",-153.75,43.75,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"French Polynesia",NA,NA,"Moorea, along W coast between NW corner of island's reef & Taota Pass","<a href=""http://data.gbif.org/ws/rest/occurrence/get/223735377"">http://data.gbif.org/ws/rest/occurrence/get/223735377</a>","I.29237-002","Albacore Tuna",-149.92,-17.53,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794728"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794728</a>","FB 2809139","Albacore Tuna",-148.75,-18.75,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"French Polynesia",NA,NA,"off NW corner of Rangiroa Atoll, off Maeherehonae Motu","<a href=""http://data.gbif.org/ws/rest/occurrence/get/223735311"">http://data.gbif.org/ws/rest/occurrence/get/223735311</a>","I.29176-001","Albacore Tuna",-147.85,-14.92,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"French Polynesia",NA,NA,"75-100m off reef crest, outside Takapoto Atoll, on west side","<a href=""http://data.gbif.org/ws/rest/occurrence/get/223735326"">http://data.gbif.org/ws/rest/occurrence/get/223735326</a>","I.29077-002","Albacore Tuna",-145.24,-14.66,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796058"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796058</a>","FB 2810469","Albacore Tuna",-143.75,-43.75,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798424"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798424</a>","FB 2812835","Albacore Tuna",-133.75,43.75,TRUE
