"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1977",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/10766147"">http://data.gbif.org/ws/rest/occurrence/get/10766147</a>","283544",-96.6,27.4,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1976",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Pomatomus&amp;species=saltatrix"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanc","276899",-96.301,27.25,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1971",NA,"Freeport Sulphur Company base camp, Lake Pelto, approx.3 mi. NW eastern end Isles Dernieres (Wine Island Pass).","<a href=""http://data.gbif.org/ws/rest/occurrence/get/198343667"">http://data.gbif.org/ws/rest/occurrence/get/198343667</a>","163944",-90.68111,29.08861,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1969",NA,"Behind rock jetty at eastern tip of Grand Isle.","<a href=""http://data.gbif.org/ws/rest/occurrence/get/198343542"">http://data.gbif.org/ws/rest/occurrence/get/198343542</a>","58240",-89.95417,29.265,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA",NA,NA,"Off Pascagoula","<a href=""http://data.gbif.org/ws/rest/occurrence/get/203886588"">http://data.gbif.org/ws/rest/occurrence/get/203886588</a>","3992",-88.1755,29.4652,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1987",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/17635003"">http://data.gbif.org/ws/rest/occurrence/get/17635003</a>","CMNFI 1987-0057.1",-81.333,30.25,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1981",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/10766415"">http://data.gbif.org/ws/rest/occurrence/get/10766415</a>","360955",-80.348,31.688,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Miami Beach","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776908"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776908</a>","IGFA",-80.126009,25.791011,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA",NA,NA,"Charleston Harbor","<a href=""http://data.gbif.org/ws/rest/occurrence/get/190569859"">http://data.gbif.org/ws/rest/occurrence/get/190569859</a>","22947",-79.910522,32.753384,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1971",NA,"INLET CREEK, OFF INTRACOASTAL WATERWAY","<a href=""http://data.gbif.org/ws/rest/occurrence/get/197989228"">http://data.gbif.org/ws/rest/occurrence/get/197989228</a>","AMNH 75954",-79.833336,32.783333,TRUE
"11",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1974",NA,"NORTH INLET, BLY CREEK","<a href=""http://data.gbif.org/ws/rest/occurrence/get/197989225"">http://data.gbif.org/ws/rest/occurrence/get/197989225</a>","AMNH 73918",-79.183334,33.35,TRUE
"12",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1980",NA,"Stratum.58","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18421531"">http://data.gbif.org/ws/rest/occurrence/get/18421531</a>","9125.BLUFIS",-78.02,33.18,TRUE
