"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/93285796"">http://data.gbif.org/ws/rest/occurrence/get/93285796</a>","1999-0459",-87,22,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"NethAntilles",NA,NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/197949558"">http://data.gbif.org/ws/rest/occurrence/get/197949558</a>","mnhn 1999-0459",-87,22,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1939",NA,"Captiva Pass","<a href=""http://data.gbif.org/ws/rest/occurrence/get/202570331"">http://data.gbif.org/ws/rest/occurrence/get/202570331</a>","ICH.007582",-82.222,26.609,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA",NA,NA,"Dennis Cove","<a href=""http://data.gbif.org/ws/rest/occurrence/get/197949157"">http://data.gbif.org/ws/rest/occurrence/get/197949157</a>","RUSI 10414",-82.11667,36.266666,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Usa","1933",NA,"Dennis Cove","<a href=""http://data.gbif.org/ws/rest/occurrence/get/193597169"">http://data.gbif.org/ws/rest/occurrence/get/193597169</a>","10414",-82.116669,36.266666,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1977",NA,"Stratum.6","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18383857"">http://data.gbif.org/ws/rest/occurrence/get/18383857</a>","8543.SUMFLD",-81.4,40.62,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1977",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Paralichthys&amp;species=dentatus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdva","8543.SUMFLD",-81.4,40.62,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1961",NA,"WESTERN CENTRAL ATLANTIC OCEAN","<a href=""http://data.gbif.org/ws/rest/occurrence/get/197948597"">http://data.gbif.org/ws/rest/occurrence/get/197948597</a>","AMNH 73651",-81.36667,30.516666,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1961","R/V SILVER BAY","WESTERN CENTRAL ATLANTIC OCEAN","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=953840"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=953840</a>","AMNH 73651",-81.366667,30.516667,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1980",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/78288637"">http://data.gbif.org/ws/rest/occurrence/get/78288637</a>","CMNFI 1983-0280.1",-81.35,29.133,TRUE
"11",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1971",NA,"Matanzas River","<a href=""http://data.gbif.org/ws/rest/occurrence/get/202570326"">http://data.gbif.org/ws/rest/occurrence/get/202570326</a>","ICH.007406",-81.214,29.669,TRUE
"12",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1971",NA,"Flagler Beach","<a href=""http://data.gbif.org/ws/rest/occurrence/get/202570330"">http://data.gbif.org/ws/rest/occurrence/get/202570330</a>","ICH.007476",-81.127,29.475,TRUE
"13",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Savannah","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1779387"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1779387</a>","IGFA",-81.099834,32.083541,TRUE
