"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1952",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/149955337"">http://data.gbif.org/ws/rest/occurrence/get/149955337</a>","157724.5047246",-96.425,26.916667,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1954",NA,"Gulf of Mexico, 150 fathoms.","<a href=""http://data.gbif.org/ws/rest/occurrence/get/198259209"">http://data.gbif.org/ws/rest/occurrence/get/198259209</a>","10996",-96.33334,27.16667,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1973",NA,"Gulf of Mexico, 170/177 fathoms; Station 13297.","<a href=""http://data.gbif.org/ws/rest/occurrence/get/198259818"">http://data.gbif.org/ws/rest/occurrence/get/198259818</a>","90436",-94.265,27.69833,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1977","R.L. SHIPP et al.","GULF OF MEXICO","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=927601"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=927601</a>","AMNH 83753",-87.066667,29.833333,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1977",NA,"GULF OF MEXICO","<a href=""http://data.gbif.org/ws/rest/occurrence/get/197848806"">http://data.gbif.org/ws/rest/occurrence/get/197848806</a>","AMNH 83753",-87.066666,29.833334,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1950",NA,"Fla: Off Santa Rosa I.","<a href=""http://data.gbif.org/ws/rest/occurrence/get/149955327"">http://data.gbif.org/ws/rest/occurrence/get/149955327</a>","152561.5255865",-87,29.8,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1955",NA,"So. of Santa Rosa, Fla.","<a href=""http://data.gbif.org/ws/rest/occurrence/get/149955342"">http://data.gbif.org/ws/rest/occurrence/get/149955342</a>","158810.5255867",-86.7,29,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1978","R.L. SHIPP, J.T. WILLIAMS, T.S. SEARCY","GULF OF MEXICO","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=927607"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=927607</a>","AMNH 85996",-86.416667,29.5,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1978",NA,"GULF OF MEXICO","<a href=""http://data.gbif.org/ws/rest/occurrence/get/197848807"">http://data.gbif.org/ws/rest/occurrence/get/197848807</a>","AMNH 85996",-86.416664,29.5,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1950",NA,"Gulf of Mexico, Fla.: Off Cape San Blas.","<a href=""http://data.gbif.org/ws/rest/occurrence/get/149955328"">http://data.gbif.org/ws/rest/occurrence/get/149955328</a>","152562.5255866",-85.6,28.5,TRUE
