"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1993",NA,"Stratum.1730","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18264346"">http://data.gbif.org/ws/rest/occurrence/get/18264346</a>","13619.HADDOK",-74.25,38.97,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA",NA,NA,"new york","<a href=""http://data.gbif.org/ws/rest/occurrence/get/197870111"">http://data.gbif.org/ws/rest/occurrence/get/197870111</a>","mnhn 1995-0363",-73.833336,40.666668,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1988",NA,"Stratum.1730","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18286929"">http://data.gbif.org/ws/rest/occurrence/get/18286929</a>","6046.HADDOK",-73.65,39.07,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1987",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/35073551"">http://data.gbif.org/ws/rest/occurrence/get/35073551</a>","94270",-73.38,39.65,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1981",NA,"Stratum.74","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18261436"">http://data.gbif.org/ws/rest/occurrence/get/18261436</a>","11062.HADDOK",-73.25,38.78,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1979",NA,"Stratum.74","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18280658"">http://data.gbif.org/ws/rest/occurrence/get/18280658</a>","3145.HADDOK",-73.13,39.33,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1987",NA,"Stratum.1010","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18286843"">http://data.gbif.org/ws/rest/occurrence/get/18286843</a>","5795.HADDOK",-73.03,40.05,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1992",NA,"Stratum.1020","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18287072"">http://data.gbif.org/ws/rest/occurrence/get/18287072</a>","6622.HADDOK",-72.93,39.57,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1991",NA,"Stratum.1010","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18264211"">http://data.gbif.org/ws/rest/occurrence/get/18264211</a>","13181.HADDOK",-72.73,39.87,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1970",NA,"Stratum.1","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18285520"">http://data.gbif.org/ws/rest/occurrence/get/18285520</a>","539.HADDOK",-72.48,40.4,TRUE
"11",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1989",NA,"Stratum.1020","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18261887"">http://data.gbif.org/ws/rest/occurrence/get/18261887</a>","12248.HADDOK",-72.27,40.38,TRUE
"12",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1978",NA,"Stratum.5","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18289337"">http://data.gbif.org/ws/rest/occurrence/get/18289337</a>","9705.HADDOK",-72.02,40.72,TRUE
"13",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1987",NA,"Stratum.1050","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18286826"">http://data.gbif.org/ws/rest/occurrence/get/18286826</a>","5761.HADDOK",-71.85,40.68,TRUE
"14",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1975",NA,"Stratum.6","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18289178"">http://data.gbif.org/ws/rest/occurrence/get/18289178</a>","9304.HADDOK",-71.73,40.27,TRUE
