"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Cruiser Tablemount","<a href=""http://data.gbif.org/ws/rest/occurrence/get/11803937"">http://data.gbif.org/ws/rest/occurrence/get/11803937</a>","9037",-28,32,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/198154373"">http://data.gbif.org/ws/rest/occurrence/get/198154373</a>","ISH 434-1964",-17.65,20.583334,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Senegal","1963",NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350700"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350700</a>","FISH 1605820",-17.083333,12.016667,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Senegal","1963",NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350326"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350326</a>","FISH 1747079",-17.083333,12.016667,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Guinea-Bissau","1963",NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350353"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350353</a>","FISH 1582603",-16.733333,10.983333,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Guinea-Bissau","1963",NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350682"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350682</a>","FISH 1707661",-16.733333,10.983333,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1971",NA,"At.Cen-Orien Sahara","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=41156"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=41156</a>","IIPB 172/1983",-16.333333,23.2,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Guinea-Bissau","1963",NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350556"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350556</a>","FISH 1604714",-16.25,10.533333,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Guinea-Bissau","1963",NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350333"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350333</a>","FISH 1760071",-16.25,10.533333,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Senegal","1963",NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350558"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350558</a>","FISH 1604569",-16.066667,11.75,TRUE
"11",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Senegal","1963",NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350376"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=350376</a>","FISH 1714168",-16.066667,11.75,TRUE
