"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Zapadnaya Seamount","<a href=""http://data.gbif.org/ws/rest/occurrence/get/190488793"">http://data.gbif.org/ws/rest/occurrence/get/190488793</a>","5143",-179.59,28.93,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Pearl and Hermes Reef","<a href=""http://data.gbif.org/ws/rest/occurrence/get/190488800"">http://data.gbif.org/ws/rest/occurrence/get/190488800</a>","5151",-175.85,27.89,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Bank 8","<a href=""http://data.gbif.org/ws/rest/occurrence/get/11782248"">http://data.gbif.org/ws/rest/occurrence/get/11782248</a>","5144",-174.5667,26.2833,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Samoa","1967",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/149756169"">http://data.gbif.org/ws/rest/occurrence/get/149756169</a>","276116.5155529",-173.4,-17.8,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"0",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Coryphaena&amp;species=hippurus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanc","5157",-172.0667,25.3333,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"East Tropical Oc","1950",NA,"[NE of]","<a href=""http://data.gbif.org/ws/rest/occurrence/get/14844196"">http://data.gbif.org/ws/rest/occurrence/get/14844196</a>","25951",-172.01666,3,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"East Tropical Oc","1951",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/14844170"">http://data.gbif.org/ws/rest/occurrence/get/14844170</a>","25656",-171.58333,-3.4,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"East Tropical Oc","1950",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Coryphaena&amp;species=hippurus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanc","25528",-170.48334,-2.55,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Manua Islands, Near","<a href=""http://data.gbif.org/ws/rest/occurrence/get/149756303"">http://data.gbif.org/ws/rest/occurrence/get/149756303</a>","115308.5037170",-170.1,-14.5,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"0",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Coryphaena&amp;species=hippurus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanc","5153",-167.25,24.4167,TRUE
"11",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Brooks Banks","<a href=""http://data.gbif.org/ws/rest/occurrence/get/11782250"">http://data.gbif.org/ws/rest/occurrence/get/11782250</a>","5147",-166.8167,24.1167,TRUE
"12",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Necker Island","<a href=""http://data.gbif.org/ws/rest/occurrence/get/190488795"">http://data.gbif.org/ws/rest/occurrence/get/190488795</a>","5146",-164.53,23.49,TRUE
