"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1978",NA,"Stratum.63","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18419928"">http://data.gbif.org/ws/rest/occurrence/get/18419928</a>","8742.POLLOK",-74.8,36.33,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Manasquan","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1783250"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1783250</a>","IGFA",-74.049304,40.126226,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Fire Island Inlet","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1783252"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1783252</a>","IGFA",-73.265674,40.630378,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1985",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/35254261"">http://data.gbif.org/ws/rest/occurrence/get/35254261</a>","93348",-72.72,40.32,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1975",NA,"Stratum.2","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18419658"">http://data.gbif.org/ws/rest/occurrence/get/18419658</a>","8023.POLLOK",-72.2,40.27,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1980",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Pollachius&amp;species=virens"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanced","7367.POLLOK",-71.92,40.83,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1982",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Pollachius&amp;species=virens"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanced","11438.POLLOK",-71.78,40.57,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Block Island","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1783264"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1783264</a>","IGFA",-71.5,41,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1993",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Pollachius&amp;species=virens"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanced","13466.POLLOK",-71.2,41.27,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Etats-Unis",NA,NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/93292404"">http://data.gbif.org/ws/rest/occurrence/get/93292404</a>","a-2435",-71,42.5,TRUE
