"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1954",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/208624957"">http://data.gbif.org/ws/rest/occurrence/get/208624957</a>","158410.5322860",-96.9,26.2,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1977",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/17642395"">http://data.gbif.org/ws/rest/occurrence/get/17642395</a>","CMNFI 1979-0641.10",-84.317,29.967,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1977",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/78304400"">http://data.gbif.org/ws/rest/occurrence/get/78304400</a>","CMNFI 1979-0641.10",-84.317,29.967,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1977",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Stenotomus&amp;species=chrysops"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanc","CMNFI 1979-0641.10",-84.317,29.967,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1984",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/17643247"">http://data.gbif.org/ws/rest/occurrence/get/17643247</a>","CMNFI 1985-0189.4",-82.45,27.952,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1984",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/78304963"">http://data.gbif.org/ws/rest/occurrence/get/78304963</a>","CMNFI 1985-0189.4",-82.45,27.952,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States","1984",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Stenotomus&amp;species=chrysops"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanc","CMNFI 1985-0189.4",-82.45,27.952,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1939",NA,"Captiva Pass","<a href=""http://data.gbif.org/ws/rest/occurrence/get/202574555"">http://data.gbif.org/ws/rest/occurrence/get/202574555</a>","ICH.009875",-82.222,26.609,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1962",NA,"Straits of Florida near W end of Bahia Honda Key.","<a href=""http://data.gbif.org/ws/rest/occurrence/get/198350522"">http://data.gbif.org/ws/rest/occurrence/get/198350522</a>","36217",-81.28028,24.66,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1956",NA,"Atlantic Ocean, 13 fathoms.","<a href=""http://data.gbif.org/ws/rest/occurrence/get/198350366"">http://data.gbif.org/ws/rest/occurrence/get/198350366</a>","14726",-81.1,30.33333,TRUE
