"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1977",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Sebastes&amp;species=fasciatus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvance","8447.ACARED",-86.18,41.3,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1973",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Sebastes&amp;species=fasciatus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvance","2085.ACARED",-74.75,36.08,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1973",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Sebastes&amp;species=fasciatus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvance","14946.ACARED",-72.87,38.92,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1970",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Sebastes&amp;species=fasciatus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvance","147.ACARED",-72.82,38.98,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1983",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Sebastes&amp;species=fasciatus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvance","3712.ACARED",-71.22,39.97,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1988",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Sebastes&amp;species=fasciatus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvance","5942.ACARED",-71,40.22,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1974",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Sebastes&amp;species=fasciatus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvance","7790.ACARED",-70.85,40,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1988",NA,"Stratum.1070","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18463562"">http://data.gbif.org/ws/rest/occurrence/get/18463562</a>","6161.ACARED",-70.75,40.2,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"2001",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/14832826"">http://data.gbif.org/ws/rest/occurrence/get/14832826</a>","256672",-70.73653,42.476307,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"2000",NA,NA,"<a href=""http://data.gbif.org/ws/rest/occurrence/get/14832467"">http://data.gbif.org/ws/rest/occurrence/get/14832467</a>","248409",-70.68,42.4805,TRUE
"11",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1974",NA,"Stratum.8","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18463965"">http://data.gbif.org/ws/rest/occurrence/get/18463965</a>","7836.ACARED",-70.68,39.98,TRUE
"12",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1977",NA,"Stratum.26","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18465206"">http://data.gbif.org/ws/rest/occurrence/get/18465206</a>","9652.ACARED",-70.67,42.4,TRUE
"13",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1972",NA,"Stratum.40","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18460299"">http://data.gbif.org/ws/rest/occurrence/get/18460299</a>","1640.ACARED",-70.63,42.82,TRUE
"14",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1982",NA,"Stratum.1260","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18458619"">http://data.gbif.org/ws/rest/occurrence/get/18458619</a>","11430.ACARED",-70.63,42.45,TRUE
"15",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1983",NA,"Stratum.1260","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18458684"">http://data.gbif.org/ws/rest/occurrence/get/18458684</a>","11788.ACARED",-70.63,42.42,TRUE
"16",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1992",NA,"Stratum.1400","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18463690"">http://data.gbif.org/ws/rest/occurrence/get/18463690</a>","6649.ACARED",-70.62,42.83,TRUE
"17",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1988",NA,"Stratum.1400","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18463584"">http://data.gbif.org/ws/rest/occurrence/get/18463584</a>","6219.ACARED",-70.62,42.77,TRUE
"18",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1979",NA,"Stratum.26","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18460929"">http://data.gbif.org/ws/rest/occurrence/get/18460929</a>","3272.ACARED",-70.62,42.45,TRUE
"19",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1991",NA,"Stratum.1260","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18459125"">http://data.gbif.org/ws/rest/occurrence/get/18459125</a>","13328.ACARED",-70.62,42.42,TRUE
"20",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","2005",NA,"Isles of Shoals, Appledore Island","<a href=""http://data.gbif.org/ws/rest/occurrence/get/46551322"">http://data.gbif.org/ws/rest/occurrence/get/46551322</a>","90897",-70.614998,42.988998,TRUE
"21",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1987",NA,"Stratum.1400","<a href=""http://data.gbif.org/ws/rest/occurrence/get/18463475"">http://data.gbif.org/ws/rest/occurrence/get/18463475</a>","5746.ACARED",-70.6,42.9,TRUE
"22",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1987",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Sebastes&amp;species=fasciatus"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvance","5746.ACARED",-70.6,42.9,TRUE
