"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Can Br Colum",NA,NA,"Off Ecoole, Barkley Sound","<a href=""http://data.gbif.org/ws/rest/occurrence/get/197891745"">http://data.gbif.org/ws/rest/occurrence/get/197891745</a>","not stated",-125.333336,48.833332,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Canada","1971",NA,"Off Ecoole, Barkley Sound","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1755152"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1755152</a>","not stated",-125.333333,48.833333,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Canada",NA,"Toyoda, J.","OFF PORT SAN JUAN","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1730460"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1730460</a>","UBC 710028",-124.5,48.5,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Canada","1971",NA,"OFF PORT SAN JUAN","<a href=""http://data.gbif.org/ws/rest/occurrence/get/197891730"">http://data.gbif.org/ws/rest/occurrence/get/197891730</a>","UBC 71-0028",-124.5,48.5,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Coos River","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776778"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776778</a>","IGFA",-124.101218,43.377613,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Coos River","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776779"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776779</a>","IGFA",-124.101218,43.377613,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Coos River","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776780"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776780</a>","IGFA",-124.101218,43.377613,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Millicoma River","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776781"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776781</a>","IGFA",-124.098162,43.380113,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Smith River","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776782"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776782</a>","IGFA",-124.078722,43.737061,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Smith River","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776783"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1776783</a>","IGFA",-124.078722,43.737061,TRUE
"11",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USA","1966",NA,"Duxbury Reef, N of Bolinas tidepools 1 & 2.","<a href=""http://data.gbif.org/ws/rest/occurrence/get/198280759"">http://data.gbif.org/ws/rest/occurrence/get/198280759</a>","80632",-122.6983,37.89111,TRUE
"12",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Usa","1986",NA,"Sun Valley creek at shopping mall","<a href=""http://data.gbif.org/ws/rest/occurrence/get/193450316"">http://data.gbif.org/ws/rest/occurrence/get/193450316</a>","49029",-122.550003,37.983334,TRUE
