"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798504"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798504</a>","FB 2812915",-178.75,48.75,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798501"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798501</a>","FB 2812912",-178.75,43.75,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798222"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798222</a>","FB 2812633",-178.75,38.75,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798204"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798204</a>","FB 2812615",-178.75,33.75,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797765"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797765</a>","FB 2812176",-178.75,28.75,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797748"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797748</a>","FB 2812159",-178.75,23.75,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797230"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797230</a>","FB 2811641",-178.75,18.75,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797212"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797212</a>","FB 2811623",-178.75,13.75,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796683"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796683</a>","FB 2811094",-178.75,8.75,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796665"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796665</a>","FB 2811076",-178.75,3.75,TRUE
"11",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794307"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794307</a>","FB 2808718",-178.75,-3.75,TRUE
"12",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794325"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794325</a>","FB 2808736",-178.75,-8.75,TRUE
"13",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794823"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794823</a>","FB 2809234",-178.75,-13.75,TRUE
"14",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794841"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794841</a>","FB 2809252",-178.75,-18.75,TRUE
"15",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1795361"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1795361</a>","FB 2809772",-178.75,-23.75,TRUE
