"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","coords.x1","coords.x2","optional"
"1",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797743"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797743</a>","FB 2812154",-178.75,23.75,TRUE
"2",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794836"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794836</a>","FB 2809247",-178.75,-18.75,TRUE
"3",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"0",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Thunnus&amp;species=albacares"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanced","5849",-177.9667,27.95,TRUE
"4",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Salmon Bank","<a href=""http://data.gbif.org/ws/rest/occurrence/get/190502875"">http://data.gbif.org/ws/rest/occurrence/get/190502875</a>","5868",-176.44,26.96,TRUE
"5",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797751"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797751</a>","FB 2812162",-173.75,28.75,TRUE
"6",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794809"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794809</a>","FB 2809220",-173.75,-13.75,TRUE
"7",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"0",NA,NA,"<a href=""http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvancedSearchServlet&amp;genus=Thunnus&amp;species=albacares"">http://www.iobis.org/OBISWEB/ObisControllerServlet?site=fishbase&amp;searchCategory=%2FAdvanced","5858",-172.0667,25.3333,TRUE
"8",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798181"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798181</a>","FB 2812592",-168.75,38.75,TRUE
"9",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794266"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794266</a>","FB 2808677",-168.75,-3.75,TRUE
"10",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Gardner Pinnacles","<a href=""http://data.gbif.org/ws/rest/occurrence/get/190502869"">http://data.gbif.org/ws/rest/occurrence/get/190502869</a>","5861",-167.91,25,TRUE
"11",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Necker Island","<a href=""http://data.gbif.org/ws/rest/occurrence/get/190502872"">http://data.gbif.org/ws/rest/occurrence/get/190502872</a>","5864",-164.53,23.49,TRUE
"12",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796633"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796633</a>","FB 2811044",-163.75,8.75,TRUE
"13",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1795817"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1795817</a>","FB 2810228",-163.75,-33.75,TRUE
"14",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,"Middle Bank","<a href=""http://data.gbif.org/ws/rest/occurrence/get/11801472"">http://data.gbif.org/ws/rest/occurrence/get/11801472</a>","5867",-161.0333,22.7,TRUE
"15",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797690"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797690</a>","FB 2812101",-158.75,28.75,TRUE
"16",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794747"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794747</a>","FB 2809158",-158.75,-13.75,TRUE
"17",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"1995",NA,"Cross Seamount","<a href=""http://data.gbif.org/ws/rest/occurrence/get/11802181"">http://data.gbif.org/ws/rest/occurrence/get/11802181</a>","8808",-158.0667,18.6167,TRUE
